metric,mean_accuracy,std_accuracy,ci_lower,ci_upper,margin_error,sample_size
gini,0.9020217209690894,0.05736133895766492,0.8823174116261293,0.9217260303120495,0.019704309342960087,35
shannon,0.9056608187134504,0.05316103737690344,0.8873993634458133,0.9239222739810875,0.018261455267637127,35
misclassification,0.8931840712893344,0.06237067359503952,0.8717589952925471,0.9146091472861217,0.021425075996787377,35
renyi_0.5,0.9084923419660261,0.056850914878281054,0.8889633694289886,0.9280213145030637,0.01952897253703758,35
renyi_2.0,0.8916647173489279,0.06222068743528762,0.8702911634006599,0.913038271297196,0.021373553948267985,35
tsallis_0.5,0.9117009189640768,0.052753015833324195,0.8935796240005639,0.9298222139275897,0.01812129496351293,35
tsallis_1.3,0.901270955165692,0.056910889205899505,0.8817213807263017,0.9208205296050823,0.019549574439390347,35
tsallis_2.0,0.9020217209690894,0.05736133895766492,0.8823174116261293,0.9217260303120495,0.019704309342960087,35
norm_tsallis_1.3,0.89926037315511,0.059070087539258964,0.878969088137368,0.919551658172852,0.02029128501774207,35
kumaraswamy,0.8908454469507101,0.06377530133182197,0.8689378644444828,0.9127530294569374,0.021907582506227298,35
cross_entropy,0.5805229741019214,0.2569183828839517,0.4922684217461142,0.6687775264577287,0.08825455235580727,35
kl_divergence,0.4451573377889167,0.2453064846015716,0.36089161205348996,0.5294230635243434,0.08426572573542676,35
js_divergence,0.4451573377889167,0.2453064846015716,0.36089161205348996,0.5294230635243434,0.08426572573542676,35
hellinger,0.44198273461431353,0.2458698309975689,0.357523492621148,0.526441976607479,0.08445924199316553,35
energy,0.44014035087719294,0.24481586755716175,0.35604315799311953,0.5242375437612664,0.08409719288407343,35
polarization_3.5,0.7463848510164298,0.17480395686263636,0.6863375909108569,0.8064321111220027,0.0600472601055729,35
bregman_squared,0.4456864383180172,0.2452837546498584,0.3614285205941893,0.5299443560418451,0.0842579177238279,35
bregman_entropy,0.4451573377889167,0.2453064846015716,0.36089161205348996,0.5294230635243434,0.08426572573542676,35
itc,0.891613478139794,0.06346086015682317,0.8698139099563654,0.9134130463232225,0.02179956818342858,35
itc_alpha1.3,0.8963898635477583,0.06281107890043656,0.8748135030354502,0.9179662240600663,0.021576360512307994,35
itc_alpha1.7,0.8917683096630464,0.061007551987067615,0.8708114823216012,0.9127251370044916,0.02095682734144523,35
shannon_polarization,0.9064182678919521,0.054933132180050415,0.8875480767610878,0.9252884590228164,0.018870191130864293,35
tsallis_hellinger,0.8998106377053746,0.05839118897051656,0.8797525625055007,0.9198687129052485,0.02005807519987387,35
